192,SGU,St George Muni,St George,UT
193,SHD,Shenandoah Valley Regional,Staunton Harrisonburg,VA
194,SHV,Shreveport Regional,Shreveport,LA
195,SPI,Capital,Springfield,IL
196,SPN,Saipan International Airport,Northern Mariana Islands,MP
197,SRQ,Sarasota Bradenton International,Sarasota,FL
198,STT,Cyril E. King,Charlotte Amalie,VI
199,SUN,Friedman Memorial,Hailey,ID
200,SUX,Sioux Gateway ,Sioux City,IA
201,SYR,Syracuse-Hancock Intl,Syracuse,NY
202,TVC,Cherry Capital,Traverse City,MI
203,TXK,Texarkana Regional-Webb ,Texarkana,AR
204,TYS,McGhee-Tyson,Knoxville,TN
205,VEL,Vernal,Vernal,UT
206,XNA,Northwest Arkansas Regional,Fayetteville Springdale Rogers,AR
